mac;essid;channel;is_ap
52:FF:20:FA:50:70;;1;NO
5C:E9:31:CA:FB:C8;OMUT_STAFF;7;YES
3C:0B:59:B7:7C:83;;6;NO
62:E9:31:CA:FB:C8;OMUT_BAR;7;YES
A6:96:64:E0:1B:04;;6;NO
36:21:CF:61:88:D8;;6;NO
A6:B7:0F:B4:57:76;OMUT_BAR;6;NO
24:2F:D0:72:8C:5F;OMUT BAR;10;YES
52:FF:20:FA:75:9C;;9;NO
50:FF:20:DA:75:9C;Surf Coffee Training Center;9;YES
F6:A7:31:50:F8:A6;OMUT_BAR;11;YES
F0:A7:31:50:F8:A6;OMUT_STAFF;11;YES
50:FF:20:DA:50:70;Surf Coffee Training Center;1;YES
48:D8:90:9F:3C:07;;2;NO
5A:32:0F:D4:9D:AA;OMUT BAR;5;NO
3C:0B:59:B7:7F:71;;7;NO
24:2F:D0:72:8C:3B;;9;NO
EA:09:EC:12:51:A1;;9;NO
4C:D5:77:EE:8B:09;;9;NO
9C:53:22:91:53:CE;TP-Link_53CE;3;YES
46:F3:33:49:90:85;;6;NO
CA:E7:79:EF:7B:E5;;7;NO
AA:20:5C:DC:DE:95;Galaxy A56 5G 3B2D;7;YES
64:31:35:90:05:4A;;9;NO
24:2F:D0:72:CC:5C;;9;NO
7E:1A:CF:B8:4A:B4;;9;NO
FC:4D:D4:56:54:58;;9;NO
E6:0C:BC:7C:6D:C9;;1;NO
D8:01:BB:72:8C:5F;;9;NO
24:AF:D4:72:8C:5F;;9;NO
9A:94:D9:C2:1F:1E;;9;NO
24:2F:CC:7B:21:DF;;9;NO
24:2F:D0:72:8C:9F;;9;NO
24:2F:50:38:64:58;;9;NO
D5:EC:D3:62:8C:53;;9;NO
6C:47:5D:72:8C:5F;;9;NO
C2:9E:F8:72:9C:5F;;9;NO
24:3D:5A:DE:93:DB;;9;NO
24:2F:D0:32:82:5F;;9;NO
24:2F:D0:D2:B9:ED;;9;NO
24:5C:40:72:8C:5F;;9;NO
C2:58:5D:BE:9D:05;;9;NO
14:90:BB:16:71:5F;;9;NO
24:2F:D0:72:0C:D5;;9;NO
24:2F:D0:72:83:5F;;9;NO
6E:47:5D:42:B3:5F;;9;NO
24:2F:D0:D2:B9:6D;;9;NO
24:2F:10:8E:9A:AC;;9;NO
24:6F:D0:72:6A:28;;9;NO
33:76:06:7D:8C:5F;;9;NO
EC:2B:C5:01:76:A2;;9;NO
24:2F:D0:72:74:52;;9;NO
6C:2F:D0:72:8C:5F;;10;NO
24:2F:D0:72:B4:1E;;10;NO
24:2F:70:70:8C:5F;;10;NO
24:2F:D0:72:8C:0F;;10;NO
42:E1:88:E3:7F:31;;6;NO
21:2F:D0:72:8C:5F;;9;NO
D8:81:41:4B:1E:8F;;9;NO
F8:2F:D0:72:A6:60;;9;NO
24:2F:D0:72:66:D8;;9;NO
24:2F:D0:72:71:5F;;9;NO
E0:E7:CC:4B:9E:45;;9;NO
06:27:D0:72:8C:59;;9;NO
